Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
000001.SS,2010-01-04,3289.75,3295.279053,3243.319092,3243.76001,3243.76001,519.0016016
000001.SS,2010-01-05,3254.468018,3290.511963,3221.461914,3282.178955,3282.178955,525.1486328
000001.SS,2010-01-06,3277.51709,3295.86792,3253.043945,3254.215088,3254.215088,520.67441408
000001.SS,2010-01-07,3253.990967,3268.819092,3176.707031,3192.775879,3192.775879,510.84414064
000001.SS,2010-01-08,3177.259033,3198.919922,3149.01709,3195.99707,3195.99707,511.3595312
000001.SS,2010-01-11,3301.611084,3306.75,3197.327881,3212.75,3212.75,514.04
000001.SS,2010-01-12,3205.705078,3275.201904,3180.084961,3273.966064,3273.966064,523.8345702400001
000001.SS,2010-01-13,3204.976074,3232.818115,3165.485107,3172.657959,3172.657959,507.62527344000006
000001.SS,2010-01-14,3183.381104,3219.016113,3165.594971,3215.550049,3215.550049,514.48800784
000001.SS,2010-01-15,3217.189941,3241.814941,3197.220947,3224.1521,3224.1521,515.864336
000001.SS,2010-01-18,3213.636963,3238.241943,3202.208008,3237.0979,3237.0979,517.9356640000001
000001.SS,2010-01-19,3242.216064,3268.805908,3236.839111,3246.874023,3246.874023,519.49984368
000001.SS,2010-01-20,3252.037109,3255.12793,3148.333984,3151.850098,3151.850098,504.29601568
000001.SS,2010-01-21,3154.188965,3176.146973,3126.9021,3158.863037,3158.863037,505.41808592
000001.SS,2010-01-22,3118.724121,3147.829102,3062.628906,3128.587891,3128.587891,500.57406256
000001.SS,2010-01-25,3103.320068,3136.999023,3092.926025,3094.410889,3094.410889,495.10574224
000001.SS,2010-01-26,3094.8479,3107.197998,3001.956055,3019.394043,3019.394043,483.10304688
000001.SS,2010-01-27,3020.540039,3028.646973,2972.626953,2986.606934,2986.606934,477.85710944
000001.SS,2010-01-28,2985.214111,3006.039063,2963.891113,2994.143066,2994.143066,479.06289056
000001.SS,2010-01-29,2979.74292,3024.8479,2968.452881,2989.291992,2989.291992,478.28671872
000001.SS,2010-02-01,2981.374023,2981.374023,2912.886963,2941.360107,2941.360107,470.61761712
000001.SS,2010-02-02,2955.75293,2990.748047,2930.559082,2934.712891,2934.712891,469.55406256
000001.SS,2010-02-03,2945.033936,3005.131104,2890.020996,3003.834961,3003.834961,480.61359376
000001.SS,2010-02-04,2983.050049,3015.125977,2968.679932,2995.308105,2995.308105,479.2492968
000001.SS,2010-02-05,2936.197021,2959.23291,2918.908936,2939.4021,2939.4021,470.304336
000001.SS,2010-02-08,2936.450928,2954.266113,2922.187012,2935.174072,2935.174072,469.62785152
000001.SS,2010-02-09,2932.090088,2957.474121,2929.209961,2948.842041,2948.842041,471.81472656
000001.SS,2010-02-10,2967.137939,2983.178955,2958.217041,2982.5,2982.5,477.2
000001.SS,2010-02-11,2985.082031,3001.635986,2976.079102,2985.499023,2985.499023,477.67984368
000001.SS,2010-02-12,2996.086914,3018.85791,2993.437012,3018.133057,3018.133057,482.90128912
000001.SS,2010-02-22,3016.702881,3026.658936,3002.811035,3003.397949,3003.397949,480.54367184000006
000001.SS,2010-02-23,2998.906982,2998.906982,2938.75293,2982.574951,2982.574951,477.21199216
000001.SS,2010-02-24,2964.983887,3023.739014,2955.069092,3022.177002,3022.177002,483.54832032
000001.SS,2010-02-25,3026.656006,3063.003906,3022.373047,3060.61792,3060.61792,489.69886720000005
000001.SS,2010-02-26,3053.498047,3067.524902,3041.687988,3051.943115,3051.943115,488.3108984
000001.SS,2010-03-01,3057.006104,3093.094971,3054.553955,3087.842041,3087.842041,494.05472656
000001.SS,2010-03-02,3089.706055,3095.991943,3060.956055,3073.10791,3073.10791,491.6972656
000001.SS,2010-03-03,3074.099121,3098.456055,3061.467041,3097.004883,3097.004883,495.52078128
000001.SS,2010-03-04,3098.069092,3102.397949,3016.215088,3023.373047,3023.373047,483.73968752
000001.SS,2010-03-05,3026.638916,3044.165039,3011.087891,3031.064941,3031.064941,484.97039056
000001.SS,2010-03-08,3036.415039,3058.832031,3030.905029,3053.231934,3053.231934,488.51710944
000001.SS,2010-03-09,3053.26001,3084.850098,3028.689941,3069.141113,3069.141113,491.06257808
000001.SS,2010-03-10,3067.149902,3085.993896,3034.739014,3048.927002,3048.927002,487.82832032
000001.SS,2010-03-11,3050.644043,3070.935059,3025.309082,3051.281982,3051.281982,488.20511712
000001.SS,2010-03-12,3051.474121,3057.519043,3011.970947,3013.412109,3013.412109,482.14593744
000001.SS,2010-03-15,3010.721924,3013.51709,2963.493896,2976.938965,2976.938965,476.3102344
000001.SS,2010-03-16,2974.487061,2993.843018,2963.437988,2992.841064,2992.841064,478.85457024
000001.SS,2010-03-17,2999.814941,3050.75708,2994.893066,3050.479004,3050.479004,488.07664064
000001.SS,2010-03-18,3053.157959,3063.585938,3035.019043,3046.089111,3046.089111,487.37425776
000001.SS,2010-03-19,3046.749023,3069.662109,3031.022949,3067.75,3067.75,490.84
000001.SS,2010-03-22,3069.659912,3083.344971,3061.759033,3074.575928,3074.575928,491.93214848
000001.SS,2010-03-23,3076.958008,3082.965088,3051.210938,3053.125,3053.125,488.5
000001.SS,2010-03-24,3058.927979,3076.749023,3052.212891,3056.808105,3056.808105,489.0892968
000001.SS,2010-03-25,3051.35498,3051.35498,3012.308105,3019.176025,3019.176025,483.068164
000001.SS,2010-03-26,3017.215088,3067.707031,3009.905029,3059.715088,3059.715088,489.55441408
000001.SS,2010-03-29,3076.048096,3130.279053,3071.689941,3123.798096,3123.798096,499.80769536
000001.SS,2010-03-30,3123.832031,3132.575928,3113.76709,3128.468018,3128.468018,500.55488288
000001.SS,2010-03-31,3129.573975,3130.112061,3101.756104,3109.10498,3109.10498,497.4567968
000001.SS,2010-04-01,3111.935059,3148.343994,3111.935059,3147.416016,3147.416016,503.58656256
000001.SS,2010-04-02,3154.77002,3159.5979,3141.865967,3157.957031,3157.957031,505.27312496
000001.SS,2010-04-06,3170.612061,3177.968018,3141.929932,3158.680908,3158.680908,505.38894528
000001.SS,2010-04-07,3156.313965,3161.081055,3132.236084,3148.221924,3148.221924,503.71550784
000001.SS,2010-04-08,3143.450928,3143.826904,3110.256104,3118.708984,3118.708984,498.99343744
000001.SS,2010-04-09,3118.926025,3146.458984,3114.788086,3145.346924,3145.346924,503.25550784
000001.SS,2010-04-12,3151.887939,3156.210938,3111.898926,3129.262939,3129.262939,500.68207024
000001.SS,2010-04-13,3129.691895,3173.634033,3101.48291,3161.250977,3161.250977,505.80015632
000001.SS,2010-04-14,3161.551025,3167.657959,3145.554932,3166.183105,3166.183105,506.5892968
000001.SS,2010-04-15,3168.138916,3181.663086,3135.98999,3164.966064,3164.966064,506.39457024000006
000001.SS,2010-04-16,3159.672119,3159.672119,3121.36499,3130.302002,3130.302002,500.84832032
000001.SS,2010-04-19,3096.783936,3096.783936,2977.773926,2980.297119,2980.297119,476.84753904
000001.SS,2010-04-20,2980.081055,2998.913086,2941.350098,2979.532959,2979.532959,476.72527344
000001.SS,2010-04-21,2984.61792,3034.326904,2972.095947,3033.278076,3033.278076,485.32449216
000001.SS,2010-04-22,3021.289063,3023.641113,2978.458008,2999.483887,2999.483887,479.91742192
000001.SS,2010-04-23,2995.568115,3015.633057,2966.784912,2983.537109,2983.537109,477.36593744
000001.SS,2010-04-26,2988.076904,2996.827881,2965.832031,2969.50293,2969.50293,475.1204688
000001.SS,2010-04-27,2962.14502,2962.14502,2866.342041,2907.927979,2907.927979,465.26847664
000001.SS,2010-04-28,2883.166992,2916.676025,2865.468994,2900.331055,2900.331055,464.0529688
000001.SS,2010-04-29,2912.196045,2928.929932,2867.937988,2868.431885,2868.431885,458.9491016
000001.SS,2010-04-30,2867.648926,2875.805908,2820.948975,2870.611084,2870.611084,459.29777344
000001.SS,2010-05-04,2821.354004,2862.554932,2809.13208,2835.2771,2835.2771,453.644336
000001.SS,2010-05-05,2804.513916,2857.292969,2770.327881,2857.150879,2857.150879,457.14414064
000001.SS,2010-05-06,2838.950928,2838.950928,2734.999023,2739.701904,2739.701904,438.35230464
000001.SS,2010-05-07,2685.991943,2732.183105,2665.812988,2688.383057,2688.383057,430.14128912
000001.SS,2010-05-10,2690.858887,2713.061035,2646.589111,2698.75708,2698.75708,431.8011328
000001.SS,2010-05-11,2745.604004,2751.070068,2638.532959,2647.572998,2647.572998,423.61167968
000001.SS,2010-05-12,2628.019043,2668.11792,2604.197998,2655.714111,2655.714111,424.91425776
000001.SS,2010-05-13,2653.579102,2711.065918,2646.895996,2710.50708,2710.50708,433.6811328
000001.SS,2010-05-14,2692.095947,2712.863037,2677.189941,2696.628906,2696.628906,431.46062496
000001.SS,2010-05-17,2663.88208,2663.88208,2557.239014,2559.930908,2559.930908,409.58894528
000001.SS,2010-05-18,2555.141113,2603.320068,2529.625,2594.782959,2594.782959,415.16527344
000001.SS,2010-05-19,2581.629883,2623.958008,2554.983887,2587.806885,2587.806885,414.0491016
000001.SS,2010-05-20,2571.540039,2609.638916,2551.450928,2555.939941,2555.939941,408.95039056
000001.SS,2010-05-21,2492.573975,2584.451904,2481.974121,2583.521973,2583.521973,413.36351568
000001.SS,2010-05-24,2596.318115,2680.49292,2596.318115,2673.423096,2673.423096,427.74769536
000001.SS,2010-05-25,2654.358887,2659.73999,2609.085938,2622.629883,2622.629883,419.62078128
000001.SS,2010-05-26,2620.853027,2644.940918,2610.51001,2625.792969,2625.792969,420.12687504
000001.SS,2010-05-27,2615.104004,2662.081055,2583.548096,2655.917969,2655.917969,424.94687504
000001.SS,2010-05-28,2680.403076,2686.541992,2641.405029,2655.76709,2655.76709,424.9227344
000001.SS,2010-05-31,2647.86792,2665.389893,2591.534912,2592.145996,2592.145996,414.74335936000006
000001.SS,2010-06-01,2577.762939,2598.896973,2534.26709,2568.282959,2568.282959,410.92527344
000001.SS,2010-06-02,2548.541992,2572.343018,2521.056885,2571.423096,2571.423096,411.42769536
000001.SS,2010-06-03,2575.77002,2596.136963,2551.529053,2552.656006,2552.656006,408.42496096
000001.SS,2010-06-04,2536.230957,2556.968994,2527.873047,2553.593018,2553.593018,408.57488288
000001.SS,2010-06-07,2508.329102,2527.104004,2491.660889,2511.729004,2511.729004,401.87664064
000001.SS,2010-06-08,2510.083984,2531.88208,2491.646973,2513.947021,2513.947021,402.23152336
000001.SS,2010-06-09,2523.878906,2589.4729,2501.11792,2583.870117,2583.870117,413.41921872
000001.SS,2010-06-10,2561.549072,2581.047119,2554.787109,2562.580078,2562.580078,410.01281248
000001.SS,2010-06-11,2574.898926,2590.979004,2566.615967,2569.940918,2569.940918,411.19054688
000001.SS,2010-06-17,2588.965088,2595.509033,2559.7229,2560.245117,2560.245117,409.63921872
000001.SS,2010-06-18,2556.602051,2568.861084,2505.326904,2513.221924,2513.221924,402.11550784
000001.SS,2010-06-21,2517.291992,2587.340088,2504.314941,2586.208984,2586.208984,413.79343744
000001.SS,2010-06-22,2579.631104,2598.353027,2572.961914,2588.697998,2588.697998,414.1916796800001
000001.SS,2010-06-23,2576.343018,2593.673096,2546.52002,2569.87207,2569.87207,411.1795312
000001.SS,2010-06-24,2563.638916,2586.897949,2554.342041,2566.745117,2566.745117,410.67921872
000001.SS,2010-06-25,2556.540039,2572.833008,2534.269043,2552.816895,2552.816895,408.4507032
000001.SS,2010-06-28,2550.648926,2561.485107,2528.38501,2535.278076,2535.278076,405.64449216
000001.SS,2010-06-29,2534.496094,2541.14209,2425.927002,2427.052002,2427.052002,388.32832032
000001.SS,2010-06-30,2409.541992,2411.440918,2382.35791,2398.370117,2398.370117,383.73921872
000001.SS,2010-07-01,2393.947998,2410.769043,2371.778076,2373.791992,2373.791992,379.80671872
000001.SS,2010-07-02,2371.322998,2386.399902,2319.739014,2382.900879,2382.900879,381.26414064
000001.SS,2010-07-05,2358.75708,2378.087891,2335.571045,2363.947998,2363.947998,378.23167968
000001.SS,2010-07-06,2358.283936,2409.782959,2356.552002,2409.424072,2409.424072,385.50785152
000001.SS,2010-07-07,2407.665039,2421.678955,2392.566895,2421.116943,2421.116943,387.37871088
000001.SS,2010-07-08,2429.676025,2436.282959,2402.001953,2415.149902,2415.149902,386.4239843200001
000001.SS,2010-07-09,2416.580078,2485.600098,2398.677002,2470.923096,2470.923096,395.34769536
000001.SS,2010-07-12,2468.541016,2501.023926,2455.813965,2490.718018,2490.718018,398.51488288
000001.SS,2010-07-13,2468.689941,2468.689941,2439.24292,2450.284912,2450.284912,392.04558592
000001.SS,2010-07-14,2456.103027,2494.587891,2456.103027,2470.439941,2470.439941,395.27039056
000001.SS,2010-07-15,2465.989014,2487.237061,2423.648926,2424.303955,2424.303955,387.8886328
000001.SS,2010-07-16,2414.680908,2428.464111,2389.071045,2424.270996,2424.270996,387.88335936
000001.SS,2010-07-19,2399.580078,2484.194092,2392.272949,2475.420898,2475.420898,396.06734368
000001.SS,2010-07-20,2477.75293,2530.331055,2477.459961,2528.729004,2528.729004,404.59664064
000001.SS,2010-07-21,2529.618896,2553.451904,2520.148926,2535.394043,2535.394043,405.66304688
000001.SS,2010-07-22,2525.976074,2563.239014,2522.199951,2562.406006,2562.406006,409.98496096
000001.SS,2010-07-23,2566.851074,2579.522949,2549.237061,2572.028076,2572.028076,411.52449216
000001.SS,2010-07-26,2576.37207,2589.483887,2556.466064,2588.683105,2588.683105,414.1892968
000001.SS,2010-07-27,2581.590088,2587.99707,2565.635986,2575.36792,2575.36792,412.0588672
000001.SS,2010-07-28,2574.322021,2636.000977,2564.156006,2633.663086,2633.663086,421.38609376
000001.SS,2010-07-29,2635.048096,2656.407959,2623.944092,2648.115967,2648.115967,423.69855472000006
000001.SS,2010-07-30,2642.852051,2643.034912,2614.731934,2637.50293,2637.50293,422.0004688
000001.SS,2010-08-02,2635.806885,2675.761963,2633.646973,2672.516113,2672.516113,427.60257808000006
000001.SS,2010-08-03,2678.791016,2681.784912,2626.721924,2627.001953,2627.001953,420.32031248
000001.SS,2010-08-04,2620.499023,2638.897949,2589.988037,2638.521973,2638.521973,422.16351568
000001.SS,2010-08-05,2636.24292,2640.589111,2606.62207,2620.75708,2620.75708,419.3211328
000001.SS,2010-08-06,2618.712891,2659.412109,2598.913086,2658.39209,2658.39209,425.3427344
000001.SS,2010-08-09,2656.364014,2676.090088,2650.396973,2672.531982,2672.531982,427.60511712
000001.SS,2010-08-10,2672.792969,2675.312988,2594.335938,2595.272949,2595.272949,415.2436718400001
000001.SS,2010-08-11,2587.61499,2618.450928,2586.018066,2607.49707,2607.49707,417.1995312
000001.SS,2010-08-12,2584.918945,2608.760986,2570.962891,2575.475098,2575.475098,412.07601568
000001.SS,2010-08-13,2576.687012,2607.032959,2564.837891,2606.699951,2606.699951,417.07199216
000001.SS,2010-08-16,2603.791992,2665.313965,2596.770996,2661.708008,2661.708008,425.87328128
000001.SS,2010-08-17,2663.184082,2677.570068,2654.010986,2671.893066,2671.893066,427.50289056
000001.SS,2010-08-18,2674.500977,2687.76001,2654.407959,2666.301025,2666.301025,426.608164
000001.SS,2010-08-19,2669.430908,2701.929932,2659.297119,2687.979004,2687.979004,430.07664064
000001.SS,2010-08-20,2677.019043,2683.288086,2636.907959,2642.306885,2642.306885,422.7691016
000001.SS,2010-08-23,2637.820068,2656.115967,2629.707031,2639.365967,2639.365967,422.29855472
000001.SS,2010-08-24,2636.531982,2667.170898,2614.562988,2650.306885,2650.306885,424.0491016
000001.SS,2010-08-25,2634.949951,2645.50293,2595.728027,2596.580078,2596.580078,415.45281248
000001.SS,2010-08-26,2604.88208,2616.961914,2590.614014,2603.480957,2603.480957,416.55695312000006
