Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
399001.SZ,2010-01-04,13766.09961,13782.80957,13533.54004,13533.54004,13533.3877,2165.3664064
399001.SZ,2010-01-05,13539.83008,13597.36035,13324.55957,13517.37988,13517.22852,2162.7807808
399001.SZ,2010-01-06,13509.38965,13677.40039,13456.29004,13505.17969,13505.02832,2160.8287504
399001.SZ,2010-01-07,13514.63965,13571.34961,13148.25,13235.48047,13235.33203,2117.6768752000003
399001.SZ,2010-01-08,13180.90039,13270.62988,13040.33984,13267.44043,13267.29199,2122.7904688000003
399001.SZ,2010-01-11,13559.28027,13606.23047,13089.87988,13161.08984,13160.94238,2105.7743744
399001.SZ,2010-01-12,13187.38965,13381.25,12993.23047,13381.25,13381.09961,2141.0
399001.SZ,2010-01-13,13031.54981,13227.95996,12936.32031,13016.55957,13016.41406,2082.6495312
399001.SZ,2010-01-14,13037.79981,13222.21973,12965.79004,13204.19043,13204.04297,2112.6704688
399001.SZ,2010-01-15,13247.65039,13320.40039,13118.25,13264.37012,13264.22168,2122.2992192
399001.SZ,2010-01-18,13234.11035,13373.11035,13175.92969,13361.51953,13361.37012,2137.8431248
399001.SZ,2010-01-19,13389.58984,13433.05957,13318.34961,13350.66992,13350.52051,2136.1071872
399001.SZ,2010-01-20,13375.53027,13389.92969,12871.58008,12916.15039,12916.00586,2066.5840624
399001.SZ,2010-01-21,12928.51953,12982.87988,12732.95996,12917.15039,12917.00586,2066.7440624
399001.SZ,2010-01-22,12756.91992,12756.91992,12394.07031,12595.94043,12595.79883,2015.3504688
399001.SZ,2010-01-25,12506.13965,12640.73047,12458.55957,12470.19043,12470.05078,1995.2304688
399001.SZ,2010-01-26,12496.11035,12536.46973,12091.08984,12162.55957,12162.42285,1946.0095312
399001.SZ,2010-01-27,12157.13965,12233.12012,11946.49023,12046.78027,12046.64453,1927.4848432
399001.SZ,2010-01-28,12008.95996,12166.46973,11903.99023,12120.48047,12120.34473,1939.2768752
399001.SZ,2010-01-29,12058.7002,12339.05957,11998.66016,12137.2002,12137.06445,1941.952032
399001.SZ,2010-02-01,12125.50977,12126.25977,11841.95996,11989.11035,11988.97656,1918.257656
399001.SZ,2010-02-02,12035.92969,12173.91016,11912.92969,11912.92969,11912.7959,1906.0687504
399001.SZ,2010-02-03,11961.12012,12262.57031,11714.16016,12262.57031,12262.43359,1962.0112496
399001.SZ,2010-02-04,12177.15039,12283.51953,12112.92969,12169.48047,12169.34375,1947.1168752
399001.SZ,2010-02-05,11892.30957,12018.38965,11823.07031,11917.13965,11917.00586,1906.742344
399001.SZ,2010-02-08,11900.09961,11997.66016,11847.01953,11947.33984,11947.20606,1911.5743744
399001.SZ,2010-02-09,11935.79981,12037.32031,11900.28027,11970.44043,11970.30664,1915.2704688
399001.SZ,2010-02-10,12083.0,12185.37988,12051.16016,12185.37988,12185.24316,1949.6607808
399001.SZ,2010-02-11,12178.9502,12297.41016,12152.34961,12224.59961,12224.46289,1955.9359376
