Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
GDAXI,2010-01-04,5975.52002,6048.299805,5974.430176,6048.299805,6048.299805,7378.9257621
GDAXI,2010-01-05,6043.939941,6058.02002,6015.669922,6031.859863,6031.859863,7358.86903286
GDAXI,2010-01-06,6032.390137,6047.569824,5997.089844,6034.330078,6034.330078,7361.882695159999
GDAXI,2010-01-07,6016.799805,6037.569824,5961.25,6019.359863,6019.359863,7343.61903286
GDAXI,2010-01-08,6028.620117,6053.040039,5972.240234,6037.609863,6037.609863,7365.884032859999
GDAXI,2010-01-11,6057.930176,6094.259766,6031.140137,6040.5,6040.5,7369.41
GDAXI,2010-01-12,6039.390137,6055.560059,5924.720215,5943.0,5943.0,7250.46
GDAXI,2010-01-13,5937.169922,5974.439941,5925.240234,5963.140137,5963.140137,7275.03096714
GDAXI,2010-01-14,5999.080078,6009.910156,5951.689941,5988.879883,5988.879883,7306.433457259999
GDAXI,2010-01-15,5996.560059,6025.359863,5866.839844,5875.970215,5875.970215,7168.6836623
GDAXI,2010-01-18,5897.629883,5922.930176,5877.649902,5918.549805,5918.549805,7220.6307621
GDAXI,2010-01-19,5905.330078,5988.799805,5849.669922,5976.47998,5976.47998,7291.3055756
GDAXI,2010-01-20,5963.709961,5972.77002,5832.089844,5851.529785,5851.529785,7138.866337699999
GDAXI,2010-01-21,5878.240234,5908.850098,5742.450195,5746.970215,5746.970215,7011.3036623
GDAXI,2010-01-22,5735.680176,5740.870117,5639.490234,5695.319824,5695.319824,6948.29018528
GDAXI,2010-01-25,5662.850098,5693.859863,5624.580078,5631.370117,5631.370117,6870.271542740001
GDAXI,2010-01-26,5593.939941,5675.959961,5574.459961,5668.930176,5668.930176,6916.09481472
GDAXI,2010-01-27,5643.52002,5673.72998,5589.009766,5643.200195,5643.200195,6884.7042379
GDAXI,2010-01-28,5687.100098,5718.810059,5540.330078,5540.330078,5540.330078,6759.20269516
GDAXI,2010-01-29,5566.029785,5657.870117,5556.189941,5608.790039,5608.790039,6842.72384758
GDAXI,2010-02-01,5587.5,5674.209961,5567.720215,5654.47998,5654.47998,6898.4655756
GDAXI,2010-02-02,5664.25,5723.200195,5624.609863,5709.660156,5709.660156,6965.785390319999
GDAXI,2010-02-03,5715.160156,5733.709961,5656.899902,5672.089844,5672.089844,6919.94960968
GDAXI,2010-02-04,5671.169922,5696.939941,5522.569824,5533.240234,5533.240234,6750.55308548
GDAXI,2010-02-05,5515.689941,5527.0,5433.02002,5434.339844,5434.339844,6629.89460968
GDAXI,2010-02-08,5476.470215,5505.060059,5434.399902,5484.850098,5484.850098,6691.51711956
GDAXI,2010-02-09,5485.310059,5537.970215,5461.509766,5498.259766,5498.259766,6707.87691452
GDAXI,2010-02-10,5533.709961,5592.27002,5505.370117,5536.370117,5536.370117,6754.37154274
GDAXI,2010-02-11,5562.830078,5580.77002,5454.069824,5503.930176,5503.930176,6714.79481472
