Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
HSI,2010-01-04,21860.03906,22024.83008,21689.2207,21823.2793,21823.2793,2837.026309
HSI,2010-01-05,22092.15039,22297.03906,21987.26953,22279.58008,22279.58008,2896.3454104
HSI,2010-01-06,22357.46094,22514.78906,22277.13086,22416.66992,22416.66992,2914.1670896
HSI,2010-01-07,22548.0293,22548.0293,22169.60938,22269.44922,22269.44922,2895.0283986
HSI,2010-01-08,22282.75,22443.2207,22206.16016,22296.75,22296.75,2898.5775
HSI,2010-01-11,22524.17969,22671.91992,22373.96094,22411.51953,22411.51953,2913.4975389
HSI,2010-01-12,22378.23047,22476.11914,22192.98047,22326.64063,22326.64063,2902.4632819000003
HSI,2010-01-13,21990.67969,22012.03906,21688.16992,21748.59961,21748.59961,2827.3179493
HSI,2010-01-14,21871.00977,21988.92969,21707.09961,21716.94922,21716.94922,2823.2033986
HSI,2010-01-15,21715.08984,21788.84961,21581.07031,21654.16016,21654.16016,2815.0408208
HSI,2010-01-18,21418.33984,21645.67969,21320.9707,21460.00977,21460.00977,2789.8012701
HSI,2010-01-19,21481.10938,21681.68945,21335.59961,21677.98047,21677.98047,2818.1374611
HSI,2010-01-20,21543.25,21561.56055,21171.30078,21286.16992,21286.16992,2767.2020896
HSI,2010-01-21,21192.83008,21272.25977,20828.24023,20862.66992,20862.66992,2712.1470896
HSI,2010-01-22,20527.19922,20738.99023,20250.35938,20726.17969,20726.17969,2694.4033597
HSI,2010-01-25,20447.78906,20619.69922,20422.66992,20598.55078,20598.55078,2677.8116014
HSI,2010-01-26,20560.10938,20560.10938,20046.59961,20109.33008,20109.33008,2614.2129104
HSI,2010-01-27,20185.80078,20340.82031,19923.55078,20033.07031,20033.07031,2604.2991403
HSI,2010-01-28,20202.33008,20437.56055,20170.15039,20356.36914,20356.36914,2646.3279882
HSI,2010-01-29,20026.51953,20327.68945,19916.33984,20121.99023,20121.99023,2615.8587299
HSI,2010-02-01,19987.66992,20254.24023,19845.92969,20243.75,20243.75,2631.6875
HSI,2010-02-02,20432.96094,20533.96094,20181.2793,20272.17969,20272.17969,2635.3833597000003
HSI,2010-02-03,20486.15039,20780.5,20315.31055,20722.08008,20722.08008,2693.8704104
HSI,2010-02-04,20534.74023,20554.19922,20316.33008,20341.64063,20341.64063,2644.4132819
HSI,2010-02-05,19706.24023,19822.92969,19655.88086,19665.08008,19665.08008,2556.4604104
HSI,2010-02-08,19614.84961,19673.10938,19423.05078,19550.89063,19550.89063,2541.6157819000005
HSI,2010-02-09,19493.5,19843.86914,19461.19922,19790.2793,19790.2793,2572.736309
HSI,2010-02-10,19914.83984,19976.66016,19681.53906,19922.2207,19922.2207,2589.888691
HSI,2010-02-11,20095.5293,20310.78906,20095.5293,20290.68945,20290.68945,2637.7896285
HSI,2010-02-12,20240.66992,20428.32031,20212.55078,20268.68945,20268.68945,2634.9296285000005
HSI,2010-02-17,20657.85938,20684.2207,20471.35938,20534.00977,20534.00977,2669.4212701
HSI,2010-02-18,20534.76953,20569.60938,20381.30078,20422.15039,20422.15039,2654.8795507
HSI,2010-02-19,20261.49023,20261.49023,19874.55078,19894.01953,19894.01953,2586.2225389000005
HSI,2010-02-22,20407.83984,20427.08984,20313.15039,20377.26953,20377.26953,2649.0450389
HSI,2010-02-23,20218.50977,20711.75,20120.09961,20623.0,20623.0,2680.99
HSI,2010-02-24,20357.41992,20583.83984,20351.05078,20467.74023,20467.74023,2660.8062299
HSI,2010-02-25,20512.38086,20644.26953,20261.98047,20399.57031,20399.57031,2651.9441403
HSI,2010-02-26,20657.83008,20662.83984,20567.58008,20608.69922,20608.69922,2679.1308986
HSI,2010-03-01,20853.08008,21056.92969,20853.08008,21056.92969,21056.92969,2737.4008597
HSI,2010-03-02,20921.43945,20961.83008,20847.46094,20906.10938,20906.10938,2717.7942194
HSI,2010-03-03,21016.28906,21016.28906,20845.16016,20876.78906,20876.78906,2713.9825778
HSI,2010-03-04,20983.81055,21000.13086,20575.7793,20575.7793,20575.7793,2674.851309
HSI,2010-03-05,20820.9707,20820.9707,20654.93945,20787.9707,20787.9707,2702.436191
HSI,2010-03-08,21099.71094,21257.08984,21080.75977,21196.86914,21196.86914,2755.5929882
HSI,2010-03-09,21153.61914,21277.66016,21128.92969,21207.55078,21207.55078,2756.9816014000003
HSI,2010-03-10,21293.51953,21293.51953,21156.08984,21208.28906,21208.28906,2757.0775778
HSI,2010-03-11,21333.06055,21333.06055,21059.06055,21228.19922,21228.19922,2759.6658986
HSI,2010-03-12,21249.80078,21260.07031,21116.83984,21209.74023,21209.74023,2757.2662299
HSI,2010-03-15,21036.41992,21116.5,20964.31055,21079.09961,21079.09961,2740.2829493000004
HSI,2010-03-16,21135.78906,21196.83008,20986.68945,21022.92969,21022.92969,2732.9808597
HSI,2010-03-17,21183.59961,21440.17969,21159.42969,21384.49023,21384.49023,2779.9837299
HSI,2010-03-18,21429.68945,21440.81055,21287.36914,21330.66992,21330.66992,2772.9870896
HSI,2010-03-19,21359.55078,21389.0,21257.80078,21370.82031,21370.82031,2778.2066403
HSI,2010-03-22,21120.42969,21120.42969,20899.68945,20933.25,20933.25,2721.3225
HSI,2010-03-23,21070.65039,21211.08008,20971.56055,20987.7793,20987.7793,2728.411309
HSI,2010-03-24,21203.5,21205.5,20974.05078,21008.61914,21008.61914,2731.1204882
HSI,2010-03-25,20799.05078,20800.94922,20659.2793,20778.55078,20778.55078,2701.2116014000003
HSI,2010-03-26,20679.65039,21126.75,20679.65039,21053.10938,21053.10938,2736.9042194000003
HSI,2010-03-29,21148.05078,21318.23047,21125.91016,21237.42969,21237.42969,2760.8658597000003
